brain_region,gene_id,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256,effect_size_512,p-value_512,power_512,t_stat_512,effect_size_1024,p-value_1024,power_1024,t_stat_1024
4048,2541,0.8398806518565987,0.53,0.6891144760805031,2.50716353368455,0.4523855427933789,0.543,0.5328024638867256,1.6578461522928918,0.2608865007059834,0.506,0.42021913629967145,1.418674064128903,0.23322229326636568,0.496,0.5795855209568084,1.9595874239177633,0.4117459010587067,0.52,0.9985983398663995,4.871228173094322,0.33756148816818776,0.502,0.9999085991469407,5.5915865671139935,0.179316542000681,0.501,0.9919631321832142,4.332935879871375,0.17664984390909874,0.498,0.9999999921070232,6.253730907254671
4051,1259,0.7471241730570772,0.557,0.6022326823231308,4.214869682956061,0.25975957629325974,0.507,0.25704830937483325,1.306399548578253,0.12441230338226984,0.485,0.1694452467874097,0.8937015318317733,0.40559255350563156,0.526,0.9411778579617494,3.5301666810256163,0.24964527229617836,0.515,0.8778819443293041,3.1189684265920716,0.2926715251696605,0.518,0.998758555729032,5.239632597240823,0.11319893671445774,0.509,0.8194189372311407,2.8667540308132327,0.1381507782076099,0.467,0.9972232731216759,5.14827825301742
4051,2538,-0.2653962951228832,0.495,0.009936481915903794,-1.438154932550264,0.09242268516518405,0.505,0.09825388881164854,0.4685963344089817,0.06309427395326987,0.515,0.09754489763931118,0.4092313203972054,0.02714099474474654,0.503,0.07635174145212154,0.234690526505681,0.02129507307426979,0.502,0.07997972023979993,0.25333101757802656,0.013902764450975512,0.487,0.07736824588672986,0.23271838223462105,-0.009535335361919913,0.491,0.0314195492416125,-0.22869971742512368,-0.0043880691896794255,0.5,0.03711614099855043,-0.14183989561441393
4051,2541,0.8740750459928381,0.536,0.7188959279631529,2.9203057454248658,0.45044695282909414,0.548,0.5298633083428091,1.6733592667097155,0.2610562551633137,0.51,0.4205862635586439,1.4439878533931114,0.22785686652795129,0.504,0.5629196183425768,1.9398515022961098,0.3638094935367071,0.525,0.9928396918459157,4.295981137874628,0.22847664577881677,0.514,0.977306496534012,3.788047182453725,0.08471473561265866,0.49,0.6062212511607614,2.079588005735888,0.12651651318610507,0.489,0.9918247303038236,4.631207180423683
4060,1259,0.8973505486472522,0.592,0.7383343855391572,5.713170309700625,0.47535927441971126,0.503,0.5674510511614188,2.834970054963843,0.30693251875655353,0.5,0.5212773973051671,2.3309624552308965,0.5455002540244199,0.557,0.9962260002003157,5.080594632393237,0.31878673996662,0.504,0.97396150217092,3.8676592213760888,0.2427133474402349,0.524,0.9870673691323608,4.328055493322931,0.25591404669453727,0.518,0.9999999964947704,6.6176900053398215,0.271243660258019,0.496,1.0,10.30972025975864
4060,2541,0.9503938756561332,0.552,0.7798771081657994,3.1385139105912034,0.512101583525972,0.546,0.6216875258204329,1.8709015891323608,0.3811813833883213,0.519,0.678674555522126,2.1183154552347885,0.3467461349615546,0.508,0.8641437123658512,3.026044531979356,0.4943917596238789,0.512,0.999999988866998,6.072748785430934,0.35388979619889255,0.503,0.9999999925293752,6.120642229282025,0.2700705855697582,0.513,0.9999999995049554,7.081439246745396,0.3121882057140734,0.48,1.0,11.791663600057475
4074,1259,0.6839833998340489,0.566,0.5396010393921458,5.786079382762224,0.25193930270922715,0.51,0.24751725105685862,1.5402571116056545,0.09230273545631648,0.476,0.12838991862035454,0.8268454396991124,0.34850732644140536,0.525,0.8671592309494097,3.5463828431098445,0.1598313790515007,0.514,0.5611114893355104,2.249575359687862,0.32466975127581826,0.502,0.9997968728855083,6.341276568314701,0.19326936869038072,0.523,0.9967608120366124,5.12889205325936,0.18450828498736932,0.498,0.9999999982288893,7.060458961573363
4074,2541,0.7298841012878258,0.569,0.5853295405000671,3.0400203874491414,0.3728386568591946,0.559,0.41254349216706154,1.5789031270914036,0.2280586653012041,0.514,0.35088651377824953,1.410988909018558,0.21394131632049493,0.51,0.5192449669291076,2.1015137828066566,0.3406562258425609,0.527,0.9856865159306194,4.596197992923176,0.28160316497150123,0.494,0.9978057881353456,5.223834194624972,0.20272161519870116,0.507,0.9983383064742287,5.362951476731601,0.21811710858917938,0.501,0.9999999999985214,8.2389189470749
4079,1259,0.6073739635639678,0.567,0.46230221413086403,4.9760810194415965,0.12043951807410314,0.482,0.11810498094631605,0.5917215460430983,-0.030339185222649303,0.478,0.03493300523232201,-0.20800040891526428,0.3015104282770873,0.522,0.770712175865288,2.7058597840602903,0.1665701811549308,0.476,0.5908066280165115,2.1797188255089033,0.2742205670665347,0.502,0.9968428408677155,5.097805187274894,0.1844964233477446,0.52,0.9942033621371487,4.849384753682653,0.18107337835299195,0.488,0.9999999965706468,6.9474423062960105
4079,2541,0.5973353547405129,0.532,0.45220633548524325,1.6291069048028137,0.23562276638426388,0.54,0.22825341202380833,0.8614870647924137,0.09903362085002665,0.496,0.13636675308602308,0.5419733941153141,0.07771074292106553,0.498,0.1515457699793158,0.682462175382773,0.2134971469143151,0.518,0.7756822103626487,2.5373763751095906,0.21780018752469565,0.521,0.9664260437482624,3.742002781170261,0.17012711925160418,0.487,0.986081657913917,4.300412967068394,0.21342374742378387,0.503,0.9999999999957412,7.8858219490189585
