brain_region,gene_id,effect_size,p-value,power,t_stat
9067,1259,-0.5896870194375012,0.45,4.533343943569079e-07,-4.121119414014068
9067,2541,-0.8652135862086386,0.472,0.0,-6.779651451661975
9074,1259,-0.7091494100210233,0.449,1.1942153044230963e-08,-5.545802825930344
9074,2538,-0.1441716954709611,0.5,0.007284252765652477,-0.9283245582582885
9074,2541,-0.1540068423988032,0.499,0.006255666843151486,-0.9125781490720406
9075,1259,-0.9460345721796245,0.433,0.0,-8.359495685851623
9075,2541,-0.8874493206947465,0.45,0.0,-7.115145330196552
9161,1259,-0.6388372188453179,0.461,1.0864531863052918e-07,-4.156290805604824
9161,2541,-0.6156707422221216,0.47,2.1506058711651121e-07,-3.7624129958044272
9492,1259,-1.362055302911466,0.428,6.5503158452884236e-15,-25.958766683374783
9492,2538,0.1432015587538982,0.514,0.19699688236458268,0.8359205906160789
9492,2541,-1.0589384741359584,0.46,1.0475252887331976e-09,-8.75740732200599
9492,3335,-0.49570290875449213,0.467,5.66894050624267e-06,-4.412721957802634
9492,3338,-0.2889408465387737,0.463,0.0005881378916560154,-2.4838286793171975
9492,4103,-0.03752386188821716,0.514,0.03197368780268561,-0.2091327895419849
9492,36362,1.7132686824195038,0.557,1.0,10.10484042253924
9520,1259,-1.6458454548883032,0.422,0.0,-27.48691995210564
9520,2541,-1.40032961775473,0.431,1.2212453270876722e-15,-16.802153359165448
9543,1259,-1.0403413383732227,0.445,1.9895561864657907e-09,-10.64619554150842
9543,2541,-0.9304392357236949,0.465,0.0,-7.5919182223934625
9561,1259,0.04865229819484656,0.481,0.08447417207967978,0.21843658509356267
9561,2538,0.04870446288030078,0.499,0.08451889453791084,0.2810298260195275
9561,2541,0.16781426064924668,0.499,0.23692803208882895,0.6361710455663421
9598,1259,-0.9518660687130756,0.435,0.0,-7.899749971288917
9598,2541,-1.0438831363094208,0.465,1.7622205916723033e-09,-7.882917602566587
9614,1259,-1.1668135190620008,0.464,2.048949898636465e-11,-23.651378687274843
9614,2541,-1.1136528393092486,0.428,1.4904211198540906e-10,-23.829815870671997
9677,1259,-1.1924042371375334,0.439,7.637779297908764e-12,-10.413182893077318
9677,2538,0.03686558347816916,0.494,0.07481763643120909,0.21902422268168775
9677,2541,-0.9357214738850833,0.462,0.0,-5.60907496916175
9677,3335,-0.30671790317520536,0.497,0.00041434905279458256,-1.747873816871065
9677,3338,0.7184824953602887,0.518,0.9900600210793702,3.7437744203051264
9677,4103,0.0895573446579499,0.514,0.1252311915799056,0.4214975211270644
9677,36362,0.8587933868731382,0.526,0.9990448487290429,4.059245811740893
9698,1259,-1.2566130391314323,0.452,5.866418462119327e-13,-12.90923762647919
9698,2541,-1.139402803275638,0.451,5.763445276585344e-11,-8.307290015842998
